,YEAR,MONTH,DATE,Mw,LAT (N),LONG (E),DEPTH (km),DATETIME
40,1688,6,14.0,6.5,99.9,26.5,0.0,1688-06-14
41,1697,2,13.0,7.2,94.6,27.75,0.0,1697-02-13
43,1705,2,4.0,7.0,72.15,21.75,0.0,1705-02-04
45,1720,7,15.0,6.5,77.1,28.37,0.0,1720-07-15
47,1736,3,24.0,5.8,74.5,34.6,0.0,1736-03-24
49,1737,10,11.0,7.2,88.4,22.6,0.0,1737-10-11
51,1751,1,1.0,7.0,80.0,31.3,0.0,1751-01-01
52,1751,5,25.0,6.8,99.9,26.5,0.0,1751-05-25
53,1751,12,9.0,4.3,73.2,19.1,0.0,1751-12-09
56,1752,1,5.0,4.3,73.3,19.1,0.0,1752-01-05
57,1752,2,5.0,4.3,73.4,18.7,0.0,1752-02-05
60,1762,4,2.0,7.5,92.0,22.0,0.0,1762-04-02
61,1762,7,13.0,4.3,88.4,22.6,0.0,1762-07-13
64,1764,6,4.0,6.0,88.0,24.0,0.0,1764-06-04
65,1764,8,17.0,6.0,73.7,17.9,0.0,1764-08-17
67,1779,1,7.0,5.2,74.5,34.6,0.0,1779-01-07
68,1780,8,17.0,5.2,77.0,35.0,0.0,1780-08-17
70,1784,11,1.0,5.8,74.5,34.6,0.0,1784-11-01
71,1787,6,1.0,7.8,89.75,24.5,0.0,1787-06-01
73,1792,5,29.0,4.3,73.0,18.5,0.0,1792-05-29
75,1800,10,18.0,4.3,80.1,15.6,0.0,1800-10-18
78,1803,5,22.0,4.5,78.6,30.6,0.0,1803-05-22
79,1803,9,1.0,6.8,77.7,27.5,0.0,1803-09-01
80,1806,6,11.0,7.7,92.0,28.5,0.0,1806-06-11
82,1807,12,9.0,4.3,80.1,13.1,0.0,1807-12-09
85,1808,4,13.0,4.3,88.4,22.6,0.0,1808-04-13
86,1808,6,4.0,4.3,80.3,25.5,0.0,1808-06-04
91,1811,2,1.0,4.5,88.4,22.6,0.0,1811-02-01
99,1816,5,26.0,6.5,80.0,30.0,0.0,1816-05-26
100,1816,5,27.0,5.2,79.0,30.9,0.0,1816-05-27
101,1816,5,28.0,5.2,79.0,30.9,0.0,1816-05-28
124,1823,2,9.0,5.7,80.0,7.0,0.0,1823-02-09
125,1823,3,2.0,4.3,76.6,9.5,0.0,1823-03-02
126,1823,3,9.0,5.0,80.0,7.0,0.0,1823-03-09
127,1823,4,3.0,4.3,88.4,22.6,0.0,1823-04-03
128,1823,11,26.0,4.3,80.0,7.0,0.0,1823-11-26
129,1825,1,8.0,4.3,90.4,24.8,0.0,1825-01-08
130,1825,1,9.0,4.5,91.2,23.5,0.0,1825-01-09
131,1825,3,22.0,5.2,77.2,28.7,0.0,1825-03-22
135,1826,3,20.0,5.0,73.6,16.1,0.0,1826-03-20
136,1826,10,28.0,6.0,85.0,28.0,0.0,1826-10-28
137,1826,10,29.0,6.0,85.0,27.0,0.0,1826-10-29
141,1827,1,6.0,4.3,83.4,17.7,0.0,1827-01-06
142,1827,1,16.0,4.5,88.4,22.6,0.0,1827-01-16
143,1827,4,19.0,4.5,69.2,34.5,0.0,1827-04-19
145,1827,9,24.0,6.5,74.4,31.6,0.0,1827-09-24
152,1828,6,6.0,6.0,74.0,34.0,0.0,1828-06-06
153,1828,7,8.0,5.0,94.5,24.5,0.0,1828-07-08
154,1828,7,20.0,4.3,69.9,23.2,0.0,1828-07-20
155,1828,8,22.0,5.0,73.0,14.5,0.0,1828-08-22
159,1829,3,12.0,4.3,77.6,13.0,0.0,1829-03-12
160,1829,9,18.0,4.5,88.4,22.6,0.0,1829-09-18
161,1830,7,17.0,5.8,77.2,28.7,0.0,1830-07-17
162,1830,12,31.0,5.0,91.0,22.0,0.0,1830-12-31
164,1831,1,1.0,7.0,70.35,31.75,0.0,1831-01-01
165,1831,1,2.0,5.8,72.0,33.5,0.0,1831-01-02
166,1831,10,24.0,5.2,77.2,28.7,0.0,1831-10-24
168,1832,1,22.0,7.3,71.0,36.5,0.0,1832-01-22
169,1832,2,21.0,7.0,71.0,36.0,0.0,1832-02-21
170,1832,7,2.0,4.5,79.6,29.4,0.0,1832-07-02
171,1832,10,4.0,5.0,73.7,15.8,0.0,1832-10-04
185,1833,5,30.0,4.5,79.6,29.4,0.0,1833-05-30
186,1833,8,26.0,7.5,86.5,27.5,0.0,1833-08-26
187,1833,10,4.0,6.5,85.0,27.0,0.0,1833-10-04
188,1833,10,18.0,6.0,84.0,27.0,0.0,1833-10-18
189,1833,11,16.0,5.0,85.3,27.7,0.0,1833-11-16
192,1834,7,8.0,6.3,89.4,25.8,0.0,1834-07-08
197,1839,5,11.0,5.0,86.5,25.3,0.0,1839-05-11
198,1839,6,3.0,4.3,95.6,27.8,0.0,1839-06-03
202,1840,1,14.0,4.3,95.0,28.0,0.0,1840-01-14
203,1840,1,26.0,6.0,69.2,34.5,0.0,1840-01-26
204,1840,2,3.0,4.3,95.0,28.0,0.0,1840-02-03
205,1840,3,4.0,4.3,95.6,27.8,0.0,1840-03-04
206,1840,11,10.0,4.3,72.7,23.0,0.0,1840-11-10
208,1841,2,9.0,5.6,91.8,26.2,0.0,1841-02-09
217,1842,1,4.0,4.3,94.7,27.0,0.0,1842-01-04
218,1842,1,16.0,5.5,78.0,27.0,0.0,1842-01-16
219,1842,1,16.0,4.5,83.0,26.0,0.0,1842-01-16
220,1842,2,5.0,5.5,87.0,25.0,0.0,1842-02-05
221,1842,2,19.0,7.5,70.0,34.0,0.0,1842-02-19
222,1842,3,3.0,5.7,69.2,34.5,0.0,1842-03-03
223,1842,3,5.0,5.5,78.0,30.0,0.0,1842-03-05
224,1842,4,20.0,5.0,69.2,34.5,0.0,1842-04-20
225,1842,5,21.0,4.9,87.0,25.0,0.0,1842-05-21
226,1842,6,4.0,5.0,69.2,34.5,0.0,1842-06-04
227,1842,6,10.0,5.0,69.2,34.5,0.0,1842-06-10
228,1842,6,29.0,4.3,69.2,34.5,0.0,1842-06-29
229,1842,7,4.0,5.0,77.2,28.7,0.0,1842-07-04
230,1842,7,21.0,5.0,74.3,30.6,0.0,1842-07-21
231,1842,7,25.0,4.3,77.2,28.7,0.0,1842-07-25
232,1842,9,18.0,4.3,88.3,27.0,0.0,1842-09-18
233,1842,9,26.0,5.0,77.2,28.7,0.0,1842-09-26
234,1842,10,9.0,4.3,73.2,22.3,0.0,1842-10-09
235,1842,10,23.0,5.0,91.8,26.2,0.0,1842-10-23
236,1842,10,25.0,5.0,74.3,30.6,0.0,1842-10-25
237,1842,10,29.0,4.3,91.8,26.2,0.0,1842-10-29
238,1842,11,11.0,6.5,90.0,25.0,0.0,1842-11-11
252,1843,2,8.0,4.2,72.7,23.0,0.0,1843-02-08
253,1843,3,12.0,4.7,76.0,15.2,0.0,1843-03-12
254,1843,4,1.0,6.0,76.0,15.0,0.0,1843-04-01
255,1843,4,6.0,5.7,95.0,28.0,0.0,1843-04-06
256,1843,4,7.0,4.3,95.0,28.0,0.0,1843-04-07
257,1843,4,11.0,5.0,80.0,30.0,0.0,1843-04-11
258,1843,6,15.0,5.0,94.7,27.0,0.0,1843-06-15
259,1843,6,16.0,5.7,95.4,27.2,0.0,1843-06-16
260,1843,6,17.0,5.7,94.7,27.0,0.0,1843-06-17
274,1845,8,22.0,5.7,91.8,26.2,0.0,1845-08-22
275,1845,8,24.0,5.0,91.8,26.2,0.0,1845-08-24
276,1845,10,28.0,4.3,91.9,24.9,0.0,1845-10-28
279,1846,5,27.0,6.5,79.3,23.5,0.0,1846-05-27
280,1846,10,17.0,6.3,90.4,24.8,0.0,1846-10-17
281,1846,10,18.0,6.0,90.0,24.0,0.0,1846-10-18
282,1846,12,10.0,6.0,94.0,27.0,0.0,1846-12-10
286,1847,3,30.0,5.0,74.0,33.0,0.0,1847-03-30
287,1847,5,5.0,4.7,88.4,22.6,0.0,1847-05-05
288,1847,5,27.0,6.5,75.0,21.4,0.0,1847-05-27
297,1848,2,20.0,4.2,88.4,22.6,0.0,1848-02-20
298,1848,4,26.0,6.0,72.7,24.4,0.0,1848-04-26
299,1848,11,30.0,4.3,88.4,22.6,0.0,1848-11-30
308,1849,1,2.0,4.1,73.2,25.2,0.0,1849-01-02
309,1849,1,22.0,5.7,92.0,26.0,0.0,1849-01-22
310,1849,1,23.0,5.0,91.0,26.3,0.0,1849-01-23
311,1849,1,26.0,5.0,91.0,26.3,0.0,1849-01-26
312,1849,2,27.0,6.0,88.3,27.0,0.0,1849-02-27
313,1849,6,2.0,4.7,73.2,25.2,0.0,1849-06-02
316,1850,5,7.0,4.2,88.4,22.6,0.0,1850-05-07
319,1851,1,8.0,5.5,91.8,22.3,0.0,1851-01-08
320,1851,1,17.0,5.7,74.0,32.0,0.0,1851-01-17
321,1851,1,21.0,5.0,74.0,32.0,0.0,1851-01-21
322,1851,2,4.0,5.7,74.0,31.6,0.0,1851-02-04
323,1851,2,6.0,5.7,74.0,33.0,0.0,1851-02-06
324,1851,2,9.0,5.7,88.4,22.6,0.0,1851-02-09
325,1851,2,14.0,4.3,79.4,29.4,0.0,1851-02-14
326,1851,2,17.0,5.0,72.5,31.3,0.0,1851-02-17
327,1851,4,19.0,5.6,62.3,25.1,0.0,1851-04-19
328,1851,10,15.0,5.0,91.7,25.3,0.0,1851-10-15
329,1851,12,13.0,5.0,73.4,33.9,0.0,1851-12-13
339,1852,1,24.0,6.0,73.0,34.0,0.0,1852-01-24
340,1852,2,9.0,4.3,88.4,22.6,0.0,1852-02-09
341,1852,3,31.0,5.6,77.7,29.0,0.0,1852-03-31
343,1852,5,1.0,7.0,88.3,27.0,0.0,1852-05-01
344,1852,8,9.0,5.7,90.4,23.7,0.0,1852-08-09
363,1856,4,7.0,5.0,77.0,31.0,0.0,1856-04-07
382,1858,10,12.0,4.3,84.0,18.3,0.0,1858-10-12
383,1858,12,30.0,4.3,78.4,12.4,0.0,1858-12-30
400,1859,1,3.0,4.3,79.0,12.5,0.0,1859-01-03
401,1859,7,21.0,4.3,80.5,16.3,0.0,1859-07-21
402,1859,8,24.0,4.3,83.5,18.1,0.0,1859-08-24
403,1859,12,17.0,4.3,78.1,11.6,0.0,1859-12-17
404,1859,12,18.0,4.3,78.6,12.5,0.0,1859-12-18
414,1860,1,17.0,4.3,78.2,11.9,0.0,1860-01-17
415,1860,2,2.0,4.3,79.4,13.7,0.0,1860-02-02
416,1860,2,25.0,4.3,84.9,19.4,0.0,1860-02-25
417,1860,7,9.0,4.3,76.4,32.2,0.0,1860-07-09
431,1861,2,16.0,5.0,88.4,22.6,0.0,1861-02-16
432,1861,3,4.0,4.2,78.2,11.9,0.0,1861-03-04
433,1861,7,31.0,4.7,83.0,25.4,0.0,1861-07-31
434,1861,8,26.0,4.3,83.0,25.4,0.0,1861-08-26
442,1862,6,18.0,5.0,88.3,27.0,0.0,1862-06-18
452,1863,3,29.0,5.7,88.3,27.0,0.0,1863-03-29
453,1863,7,8.0,5.0,88.3,27.0,0.0,1863-07-08
454,1863,7,10.0,5.6,74.82,34.08,0.0,1863-07-10
455,1863,8,11.0,5.0,88.3,27.0,0.0,1863-08-11
456,1863,11,8.0,5.7,75.3,21.8,0.0,1863-11-08
457,1863,11,18.0,5.0,75.0,22.0,0.0,1863-11-18
468,1864,1,5.0,4.3,78.7,10.8,0.0,1864-01-05
469,1864,1,5.0,4.5,90.4,23.7,0.0,1864-01-05
470,1864,4,29.0,6.0,70.0,24.0,0.0,1864-04-29
471,1864,7,25.0,6.0,62.3,25.1,0.0,1864-07-25
472,1864,8,30.0,4.2,85.2,25.6,0.0,1864-08-30
473,1864,8,31.0,4.3,80.9,26.8,0.0,1864-08-31
491,1865,1,22.0,5.6,71.55,34.0,0.0,1865-01-22
492,1865,4,11.0,5.7,78.0,30.5,0.0,1865-04-11
493,1865,8,2.0,4.3,78.7,12.7,0.0,1865-08-02
494,1865,11,17.0,4.3,89.2,23.2,0.0,1865-11-17
495,1865,12,4.0,5.0,75.8,32.2,0.0,1865-12-04
496,1865,12,16.0,5.0,88.3,27.0,0.0,1865-12-16
497,1865,12,19.0,6.0,92.5,22.2,0.0,1865-12-19
498,1865,12,25.0,4.7,88.5,23.4,0.0,1865-12-25
499,1865,12,27.0,4.3,90.3,22.7,0.0,1865-12-27
508,1866,1,23.0,4.7,87.8,21.8,0.0,1866-01-23
543,1869,3,23.0,4.3,88.3,27.0,0.0,1869-03-23
544,1869,3,24.0,5.0,73.8,33.0,0.0,1869-03-24
545,1869,3,25.0,5.0,78.0,30.5,0.0,1869-03-25
546,1869,3,26.0,5.0,71.5,34.0,0.0,1869-03-26
547,1869,4,11.0,5.7,71.5,34.0,0.0,1869-04-11
548,1869,4,17.0,5.0,91.9,25.6,0.0,1869-04-17
549,1869,6,9.0,4.2,88.4,22.6,0.0,1869-06-09
550,1869,7,4.0,4.3,74.2,20.2,0.0,1869-07-04
551,1869,7,7.0,6.5,85.0,27.0,0.0,1869-07-07
552,1869,7,12.0,4.3,74.8,20.9,0.0,1869-07-12
553,1869,7,25.0,4.3,79.4,29.4,0.0,1869-07-25
554,1869,8,9.0,5.7,88.3,27.0,0.0,1869-08-09
555,1869,9,1.0,4.3,80.8,14.5,0.0,1869-09-01
556,1869,10,5.0,4.3,77.2,31.1,0.0,1869-10-05
557,1869,12,20.0,5.0,72.4,33.8,0.0,1869-12-20
558,1869,12,21.0,5.7,73.3,33.8,0.0,1869-12-21
559,1869,12,24.0,5.0,73.3,33.8,0.0,1869-12-24
564,1870,4,11.0,6.5,99.0,30.0,0.0,1870-04-11
565,1870,4,22.0,4.3,90.4,23.7,0.0,1870-04-22
566,1870,10,28.0,4.2,68.8,25.8,0.0,1870-10-28
582,1871,1,1.0,4.2,72.2,24.2,0.0,1871-01-01
584,1871,4,1.0,6.3,76.0,34.0,0.0,1871-04-01
585,1871,5,20.0,6.3,74.3,36.9,0.0,1871-05-20
586,1871,5,22.0,6.0,74.3,35.9,0.0,1871-05-22
588,1871,11,11.0,6.3,69.2,34.5,0.0,1871-11-11
599,1872,4,14.0,4.7,72.2,21.7,0.0,1872-04-14
600,1872,11,22.0,4.7,80.0,18.8,0.0,1872-11-22
601,1872,12,15.0,7.0,68.2,29.2,0.0,1872-12-15
603,1874,10,18.0,7.8,69.2,34.5,0.0,1874-10-18
608,1875,4,26.0,4.3,88.3,27.0,0.0,1875-04-26
609,1875,9,3.0,5.7,93.0,26.5,0.0,1875-09-03
610,1875,12,12.0,5.5,74.4,31.6,0.0,1875-12-12
615,1876,11,1.0,4.7,78.5,17.5,0.0,1876-11-01
621,1878,3,2.0,5.5,71.5,34.0,0.0,1878-03-02
622,1878,5,2.0,6.3,71.4,33.58,0.0,1878-05-02
628,1879,11,23.0,5.0,98.7,24.6,0.0,1879-11-23
660,1884,5,30.0,7.3,75.5,33.5,0.0,1884-05-30
673,1885,1,15.0,4.3,74.8,34.1,0.0,1885-01-15
674,1885,5,30.0,7.0,74.8,34.1,0.0,1885-05-30
675,1885,6,6.0,6.5,75.0,34.0,0.0,1885-06-06
676,1885,7,14.0,7.0,90.0,24.0,0.0,1885-07-14
677,1885,7,24.0,4.9,89.2,25.0,0.0,1885-07-24
691,1886,5,19.0,4.2,87.7,23.2,0.0,1886-05-19
692,1886,10,20.0,4.3,74.8,34.1,0.0,1886-10-20
701,1888,10,28.0,6.8,67.0,30.2,0.0,1888-10-28
702,1888,12,23.0,4.2,88.4,22.6,0.0,1888-12-23
703,1888,12,28.0,7.0,67.0,30.2,0.0,1888-12-28
740,1891,6,17.0,4.3,87.0,20.8,0.0,1891-06-17
748,1892,2,19.0,4.2,85.0,24.0,0.0,1892-02-19
749,1892,12,20.0,6.0,66.0,31.0,0.0,1892-12-20
752,1893,2,13.0,6.0,67.0,30.2,0.0,1893-02-13
753,1893,11,25.0,5.0,71.7,34.0,0.0,1893-11-25
756,1895,7,5.0,7.0,75.2,37.8,0.0,1895-07-05
767,1897,6,12.0,8.1,26.0,91.0,60.0,1897-06-12
785,1897,6,12.0,8.1,91.0,25.9,0.0,1897-06-12
786,1897,6,22.0,5.5,84.9,19.4,0.0,1897-06-22
805,1898,4,20.0,6.3,92.8,24.8,0.0,1898-04-20
810,1899,9,25.0,6.0,88.3,27.0,0.0,1899-09-25
821,1900,2,8.0,6.0,76.7,10.7,70.0,1900-02-08
825,1901,4,27.0,4.6,75.0,12.0,0.0,1901-04-27
826,1901,10,17.0,6.2,68.4,31.0,0.0,1901-10-17
827,1901,11,18.0,6.3,77.0,32.0,0.0,1901-11-18
829,1902,4,18.0,7.0,71.0,36.0,0.0,1902-04-18
830,1902,6,16.0,6.0,79.0,31.0,0.0,1902-06-16
831,1902,8,22.0,7.0,77.0,39.0,0.0,1902-08-22
832,1902,9,20.0,7.0,71.0,36.0,0.0,1902-09-20
833,1902,9,20.0,6.2,67.0,38.5,40.0,1902-09-20
834,1902,11,4.0,6.5,91.0,32.0,0.0,1902-11-04
835,1902,12,13.0,6.7,85.0,30.0,0.0,1902-12-13
841,1903,1,14.0,6.0,70.0,24.0,0.0,1903-01-14
842,1903,1,20.0,5.7,71.0,37.0,0.0,1903-01-20
862,1906,8,31.0,6.6393,27.0,97.0,100.0,1906-08-31
867,1906,2,28.0,7.0,77.0,32.0,0.0,1906-02-28
868,1906,5,20.0,7.0,71.0,36.0,0.0,1906-05-20
869,1906,6,13.0,6.0,79.0,31.0,0.0,1906-06-13
870,1906,8,15.0,5.0,73.0,25.0,0.0,1906-08-15
871,1906,8,31.0,7.0,97.0,27.0,100.0,1906-08-31
872,1906,10,24.0,7.0,68.0,40.0,0.0,1906-10-24
878,1907,1,4.0,7.6,94.5,2.0,50.0,1907-01-04
879,1907,4,13.0,7.0,70.5,36.5,260.0,1907-04-13
880,1907,10,21.0,8.0,69.0,38.0,0.0,1907-10-21
881,1907,12,25.0,7.0,70.5,36.5,240.0,1907-12-25
888,1908,1,12.0,6.0,68.0,32.0,0.0,1908-01-12
889,1908,2,9.0,7.3,100.0,36.5,0.0,1908-02-09
890,1908,3,12.0,6.5,70.5,36.5,200.0,1908-03-12
891,1908,4,16.0,7.0,70.5,36.5,220.0,1908-04-16
892,1908,10,23.0,7.0,70.5,36.5,220.0,1908-10-23
893,1908,10,24.0,7.0,70.5,36.5,220.0,1908-10-24
894,1908,12,11.0,5.0,79.0,31.0,0.0,1908-12-11
895,1908,12,12.0,7.5,97.0,26.5,0.0,1908-12-12
903,1909,2,17.0,5.0,87.0,27.0,0.0,1909-02-17
904,1909,7,7.0,8.0,70.5,36.5,230.0,1909-07-07
905,1909,9,7.0,6.0,71.0,36.0,0.0,1909-09-07
906,1909,10,20.0,7.2,68.0,30.0,0.0,1909-10-20
915,1910,7,12.0,8.7,66.0,38.0,0.0,1910-07-12
916,1910,7,12.0,6.8,76.0,37.0,120.0,1910-07-12
923,1911,1,1.0,7.2,66.0,38.0,50.0,1911-01-01
924,1911,2,18.0,7.7,73.0,40.0,0.0,1911-02-18
925,1911,7,4.0,7.6,70.5,36.0,190.0,1911-07-04
926,1911,10,14.0,6.8,80.5,31.0,35.0,1911-10-14
927,1911,12,7.0,5.0,88.0,23.0,0.0,1911-12-07
929,1912,5,23.0,7.2638,21.0,97.0,60.0,1912-05-23
932,1912,4,25.0,8.0,97.0,21.0,0.0,1912-04-25
933,1912,4,25.0,6.7,70.5,36.5,220.0,1912-04-25
934,1912,5,22.0,6.2,70.5,36.5,220.0,1912-05-22
935,1912,5,23.0,8.0,97.0,21.0,0.0,1912-05-23
936,1912,5,23.0,6.3,70.5,36.5,220.0,1912-05-23
937,1912,6,1.0,6.1,70.5,36.5,200.0,1912-06-01
938,1912,8,23.0,6.3,70.5,36.5,200.0,1912-08-23
939,1912,9,11.0,6.5,96.5,5.0,100.0,1912-09-11
940,1912,11,28.0,6.5,70.5,36.5,230.0,1912-11-28
942,1913,3,6.0,6.2,83.0,30.0,35.0,1913-03-06
944,1914,3,28.0,6.57685,25.0,99.0,100.0,1914-03-28
946,1915,12,3.0,6.70175,29.5,91.5,60.0,1915-12-03
950,1916,7,27.0,7.0,96.5,4.0,100.0,1916-07-27
951,1916,8,28.0,7.5,81.0,30.0,35.0,1916-08-28
959,1917,1,20.0,7.0,95.0,12.0,0.0,1917-01-20
960,1917,4,12.0,6.0,97.0,18.0,0.0,1917-04-12
961,1917,4,21.0,7.0,70.5,37.5,220.0,1917-04-21
962,1917,5,17.0,6.0,77.5,34.2,0.0,1917-05-17
963,1917,7,4.0,6.0,90.0,13.0,0.0,1917-07-04
964,1917,9,4.0,7.0,95.0,39.0,0.0,1917-09-04
965,1917,12,1.0,5.5,71.0,30.0,0.0,1917-12-01
973,1918,7,8.0,7.013999999999999,24.5,91.0,35.0,1918-07-08
977,1918,1,18.0,6.0,95.0,12.0,0.0,1918-01-18
978,1918,2,4.0,6.0,87.8,29.6,0.0,1918-02-04
979,1918,4,28.0,6.0,82.0,30.5,0.0,1918-04-28
980,1918,5,19.0,5.5,83.7,15.9,0.0,1918-05-19
981,1918,7,8.0,7.6,91.0,24.5,0.0,1918-07-08
982,1918,9,7.0,5.5,95.0,12.0,0.0,1918-09-07
983,1918,11,29.0,5.5,71.0,30.0,0.0,1918-11-29
984,1918,12,16.0,6.0,95.0,12.0,0.0,1918-12-16
988,1919,3,2.0,5.5,96.0,34.0,0.0,1919-03-02
989,1919,4,21.0,6.0,71.2,21.7,0.0,1919-04-21
990,1919,5,23.0,6.0,71.0,30.0,0.0,1919-05-23
991,1919,6,1.0,5.5,71.0,30.0,0.0,1919-06-01
992,1919,6,15.0,6.0,71.0,30.0,0.0,1919-06-15
993,1919,6,28.0,5.5,90.5,35.0,0.0,1919-06-28
994,1919,7,24.0,6.0,76.0,40.0,0.0,1919-07-24
1002,1920,2,20.0,6.0,69.0,35.0,0.0,1920-02-20
1003,1920,5,2.0,6.0,90.5,35.0,0.0,1920-05-02
1004,1920,5,2.0,6.0,90.5,35.0,0.0,1920-05-02
1005,1920,6,14.0,5.5,76.0,40.0,0.0,1920-06-14
1006,1920,8,15.0,6.0,93.2,22.2,0.0,1920-08-15
1007,1920,10,12.0,6.0,81.0,35.7,0.0,1920-10-12
1017,1921,3,5.0,6.0,94.0,7.0,0.0,1921-03-05
1018,1921,4,1.0,6.8,98.0,2.0,35.0,1921-04-01
1019,1921,5,20.0,6.7,69.0,35.0,220.0,1921-05-20
1020,1921,9,12.0,5.5,97.0,18.0,0.0,1921-09-12
1021,1921,10,26.0,5.5,68.0,25.0,0.0,1921-10-26
1022,1921,11,11.0,5.5,77.5,34.2,0.0,1921-11-11
1023,1921,11,15.0,7.7,70.5,36.5,215.0,1921-11-15
1030,1922,5,2.0,6.0,98.0,20.0,0.0,1922-05-02
1031,1922,10,16.0,6.0,91.5,39.5,0.0,1922-10-16
1035,1923,6,22.0,6.82665,22.8,98.8,60.0,1923-06-22
1043,1923,9,9.0,6.70175,25.2,91.0,60.0,1923-09-09
1044,1923,8,31.0,6.0,71.0,38.5,0.0,1923-08-31
1045,1923,9,9.0,7.1,91.0,25.3,0.0,1923-09-09
1046,1923,9,30.0,5.5,77.0,35.5,0.0,1923-09-30
1047,1923,10,1.0,6.0,70.3,31.2,0.0,1923-10-01
1048,1923,10,2.0,5.5,70.3,31.2,0.0,1923-10-02
1049,1923,10,15.0,5.5,70.3,31.2,0.0,1923-10-15
1050,1923,10,20.0,6.0,99.0,30.0,0.0,1923-10-20
1051,1923,11,21.0,5.5,90.0,37.5,0.0,1923-11-21
1052,1923,11,29.0,5.5,61.6,31.2,0.0,1923-11-29
1053,1923,12,16.0,5.5,81.0,37.0,0.0,1923-12-16
1054,1923,12,20.0,5.5,72.0,39.5,0.0,1923-12-20
1055,1923,12,28.0,6.7,68.0,39.5,0.0,1923-12-28
1075,1924,1,24.0,5.5,94.0,7.0,0.0,1924-01-24
1076,1924,1,30.0,6.0,93.0,25.0,0.0,1924-01-30
1077,1924,2,14.0,5.5,96.0,26.0,0.0,1924-02-14
1078,1924,3,31.0,5.5,76.0,40.0,0.0,1924-03-31
1079,1924,5,11.0,5.5,76.0,40.0,0.0,1924-05-11
1080,1924,6,17.0,5.5,90.0,37.5,0.0,1924-06-17
1081,1924,7,3.0,7.2,84.0,36.0,35.0,1924-07-03
1082,1924,7,5.0,6.0,85.3,37.3,0.0,1924-07-05
1083,1924,7,11.0,7.2,84.0,36.5,35.0,1924-07-11
1084,1924,7,15.0,5.5,85.3,37.3,0.0,1924-07-15
1085,1924,8,1.0,5.5,96.0,26.0,0.0,1924-08-01
1086,1924,8,13.0,5.8,90.0,29.5,35.0,1924-08-13
1087,1924,9,2.0,5.5,95.0,23.0,0.0,1924-09-02
1088,1924,9,16.0,6.0,70.0,38.8,0.0,1924-09-16
1089,1924,9,16.0,6.3,70.5,29.0,0.0,1924-09-16
1090,1924,9,17.0,5.5,70.5,37.5,0.0,1924-09-17
1091,1924,10,8.0,6.5,90.0,30.0,35.0,1924-10-08
1092,1924,10,13.0,7.3,70.5,36.0,220.0,1924-10-13
1093,1924,11,6.0,5.5,81.0,35.7,0.0,1924-11-06
1102,1925,2,2.0,5.8,62.0,9.0,35.0,1925-02-02
1103,1925,3,8.0,6.0,67.0,34.0,200.0,1925-03-08
1104,1925,4,14.0,5.5,95.0,12.0,0.0,1925-04-14
1105,1925,5,13.0,6.1,92.0,11.0,35.0,1925-05-13
1106,1925,5,14.0,5.5,70.5,36.5,0.0,1925-05-14
1107,1925,5,28.0,5.5,63.0,22.0,0.0,1925-05-28
1108,1925,6,20.0,6.5,71.5,36.5,230.0,1925-06-20
1109,1925,6,28.0,6.5,93.0,11.0,60.0,1925-06-28
1124,1926,3,22.0,5.8,70.0,36.0,35.0,1926-03-22
1125,1926,3,30.0,6.0,85.3,37.3,0.0,1926-03-30
1126,1926,4,11.0,5.5,71.0,40.0,0.0,1926-04-11
1127,1926,5,2.0,6.0,72.0,39.5,0.0,1926-05-02
1128,1926,5,10.0,6.7,97.0,26.0,80.0,1926-05-10
1129,1926,5,29.0,5.8,92.0,15.0,35.0,1926-05-29
1130,1926,6,4.0,6.1,89.5,35.0,35.0,1926-06-04
1131,1926,6,6.0,5.5,90.5,35.0,0.0,1926-06-06
1132,1926,6,17.0,5.5,91.5,39.5,0.0,1926-06-17
1133,1926,6,30.0,5.5,70.0,38.8,0.0,1926-06-30
1134,1926,7,6.0,5.5,71.0,38.5,0.0,1926-07-06
1135,1926,7,6.0,6.0,94.5,12.7,0.0,1926-07-06
1136,1926,7,12.0,5.5,92.5,15.5,0.0,1926-07-12
1137,1926,7,15.0,5.5,89.0,35.0,0.0,1926-07-15
1138,1926,7,17.0,5.5,84.5,36.0,0.0,1926-07-17
1139,1926,7,27.0,6.0,80.5,30.5,0.0,1926-07-27
1140,1926,8,6.0,5.5,96.0,26.0,0.0,1926-08-06
1141,1926,8,6.0,5.5,78.0,35.0,0.0,1926-08-06
1142,1926,8,6.0,6.3,78.0,35.5,0.0,1926-08-06
1143,1926,8,18.0,5.5,94.5,24.5,0.0,1926-08-18
1144,1926,8,26.0,5.5,73.0,39.0,0.0,1926-08-26
1145,1926,9,8.0,5.5,95.0,23.0,0.0,1926-09-08
1146,1926,10,23.0,5.5,93.0,25.0,0.0,1926-10-23
1147,1926,11,21.0,5.5,97.0,23.0,0.0,1926-11-21
1148,1926,12,4.0,6.0,87.8,29.6,0.0,1926-12-04
1149,1926,12,5.0,5.5,100.0,27.0,0.0,1926-12-05
1150,1926,12,5.0,5.5,100.0,27.0,0.0,1926-12-05
1151,1926,12,31.0,5.5,77.5,25.0,0.0,1926-12-31
1155,1927,3,15.0,6.32705,24.5,95.0,130.0,1927-03-15
1167,1927,1,20.0,5.5,73.0,39.0,0.0,1927-01-20
1168,1927,1,30.0,6.0,70.3,31.2,0.0,1927-01-30
